amo;jazida;cimento;#25.4;#9.5;#4;#10;#40;#200;LL;LP;TRB;umidade;peso;CBR;exp;confinante;desvio;MR
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,021;0,021;494
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,021;0,042;343
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,021;0,063;297
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,035;0,035;457
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,035;0,07;367
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,035;0,105;339
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,053;0,053;484
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,053;0,105;407
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,053;0,158;394
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,07;0,07;509
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,07;0,14;458
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,07;0,21;458
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,105;0,105;647
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,105;0,21;597
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,105;0,315;565
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,14;0,14;744
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,14;0,28;695
1;1;0;100;82;65;50;21;9;0;0;1,1;7,2;2,216;108;0,1;0,14;0,42;646
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,021;0,021;419
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,021;0,042;467
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,021;0,063;362
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,035;0,035;607
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,035;0,07;483
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,035;0,105;626
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,053;0,053;697
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,053;0,105;711
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,053;0,158;925
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,07;0,07;1425
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,07;0,14;1132
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,07;0,21;1247
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,105;0,105;1577
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,105;0,21;1626
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,105;0,315;1731
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,14;0,14;1641
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,14;0,28;1903
2;1;2;100;82;65;50;21;9;0;0;1,1;6,8;2,219;121;0;0,14;0,42;1645
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,021;0,021;632
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,021;0,042;627
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,021;0,063;665
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,035;0,035;935
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,035;0,07;707
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,035;0,105;867
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,053;0,053;1119
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,053;0,105;1064
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,053;0,158;1087
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,07;0,07;1328
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,07;0,14;1348
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,07;0,21;1270
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,105;0,105;1779
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,105;0,21;1779
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,105;0,315;1890
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,14;0,14;2198
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,14;0,28;2276
3;1;3;100;82;65;50;21;9;0;0;1,1;7,3;2,238;163;0;0,14;0,42;2252
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,021;0,021;824
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,021;0,042;623
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,021;0,063;565
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,035;0,035;812
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,035;0,07;648
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,035;0,105;580
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,053;0,053;883
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,053;0,105;720
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,053;0,158;651
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,07;0,07;912
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,07;0,14;735
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,07;0,21;666
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,105;0,105;946
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,105;0,21;794
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,105;0,315;720
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,14;0,14;982
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,14;0,28;854
4;2;0;94;83;67;54;26;13;0;0;1,2;6,8;2,189;91;0,1;0,14;0,42;749
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,021;0,021;593
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,021;0,042;572
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,021;0,063;563
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,035;0,035;783
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,035;0,07;772
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,035;0,105;726
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,053;0,053;1015
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,053;0,105;878
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,053;0,158;848
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,07;0,07;1168
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,07;0,14;994
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,07;0,21;926
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,105;0,105;1253
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,105;0,21;1170
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,105;0,315;1107
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,14;0,14;1427
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,14;0,28;1230
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,14;0,42;1116
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,021;0,021;950
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,021;0,042;816
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,021;0,063;760
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,035;0,035;921
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,035;0,07;894
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,035;0,105;781
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,053;0,053;1040
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,053;0,105;865
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,053;0,158;822
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,07;0,07;1134
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,07;0,14;984
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,07;0,21;915
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,105;0,105;1311
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,105;0,21;1138
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,105;0,315;1095
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,14;0,14;1454
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,14;0,28;1266
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,14;0,42;1160
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,021;0,021;906
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,021;0,042;832
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,021;0,063;627
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,035;0,035;866
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,035;0,07;686
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,035;0,105;597
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,053;0,053;899
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,053;0,105;714
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,053;0,158;647
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,07;0,07;884
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,07;0,14;713
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,07;0,21;732
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,105;0,105;933
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,105;0,21;849
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,105;0,315;805
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,14;0,14;994
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,14;0,28;948
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,14;0,42;900
